loopid,backend_file_repeat,backend_file_repeat,file_backend_repeat,file_backend_repeat,repeat_file_backend,repeat_file_backend,backend_file_repeat,backend_file_repeat,file_backend_repeat,file_backend_repeat,repeat_file_backend,repeat_file_backend
which,loadtime,loadtime,loadtime,loadtime,loadtime,loadtime,simtime,simtime,simtime,simtime,simtime,simtime
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
sbml,,,,,,,,,,,,
D:\roadrunner\temp-biomodels\final\BIOMD0000000028/BIOMD0000000028_url.xml,0.017524100000000063,0.00337681496531854,0.016676620000000496,0.003716102260702718,0.020967040000026315,0.0070845896358374275,0.018422279999999968,0.003380903367001098,0.01752760000000002,0.0037363091460691274,0.022079000000027982,0.0075728130929159105
D:\roadrunner\temp-biomodels\final\BIOMD0000000029/BIOMD0000000029_url.xml,0.011393059999999977,0.0024806278646747008,0.010935960000000123,0.0030272973611785254,0.01310809999999929,0.002613173321843012,0.011896459999999998,0.0024707607073533116,0.011407940000000848,0.003034470127221659,0.013602120000012619,0.002625066307143738
D:\roadrunner\temp-biomodels\final\BIOMD0000000030/BIOMD0000000030_url.xml,0.019550399999999968,0.00439068379754226,0.019382639999999896,0.003928635886411506,0.020663699999972352,0.003674510408886892,0.020618119999999962,0.004468207296780177,0.020364899999999863,0.003918407274008106,0.021630679999975654,0.003736449684796741
D:\roadrunner\temp-biomodels\final\BIOMD0000000031/BIOMD0000000031_url.xml,0.009568360000000099,0.002201311859550713,0.008508440000000306,0.0027676991948184116,0.010621819999989058,0.0025732388020084087,0.010076320000000116,0.0022241027330139477,0.008988680000000216,0.0027722316167656936,0.011123919999991827,0.002586776907103673
D:\roadrunner\temp-biomodels\final\BIOMD0000000032/BIOMD0000000032_url.xml,0.034004600000000454,0.005899349692550907,0.030542000000000513,0.0059082118822023,0.034312460000025524,0.006701483924698881,0.04090802000000018,0.0059254671450441904,0.03738653999999997,0.006530298486515467,0.04103830000000652,0.006857424356504271
D:\roadrunner\temp-biomodels\final\BIOMD0000000033/BIOMD0000000033_url.xml,0.028008839999999858,0.004935348435824652,0.025569020000000366,0.005038479380426832,0.03185430000001262,0.00877147829699632,0.03059302000000006,0.004881885184741549,0.028057059999999724,0.00509458253274982,0.03450130000001028,0.009140896189362263
D:\roadrunner\temp-biomodels\final\BIOMD0000000035/BIOMD0000000035_url.xml,0.012953500000000062,0.0024790345651079446,0.012125040000000097,0.0034954218562291573,0.013894660000013737,0.0035736285366610382,0.016453160000000012,0.0023655523557932477,0.01592093999999946,0.003436768121796548,0.017307999999979097,0.0037860720700837436
D:\roadrunner\temp-biomodels\final\BIOMD0000000036/BIOMD0000000036_url.xml,0.007452159999999886,0.0023351537311278774,0.008093579999999889,0.0023419628833528062,0.009040500000001828,0.0031363017927106777,0.008407319999999885,0.002336734754310017,0.00911829999999938,0.002290758797866477,0.009982459999975647,0.003171941621138162
D:\roadrunner\temp-biomodels\final\BIOMD0000000037/BIOMD0000000037_url.xml,0.010287239999999897,0.002763485326178058,0.010845739999999182,0.0027862974344097196,0.012418059999995812,0.0035899170948449953,0.011079319999999804,0.002766852334694024,0.011671460000000166,0.002783146063899408,0.01323072000000014,0.003632176702323095
D:\roadrunner\temp-biomodels\final\BIOMD0000000038/BIOMD0000000038_url.xml,0.013598039999999933,0.0030839273034558856,0.013910480000000548,0.003350891471981366,0.015188119999983308,0.0031349516769800193,0.014415319999999987,0.0030755806268086884,0.014732140000000981,0.0033675354857819065,0.016018400000003118,0.0031637906006846354
D:\roadrunner\temp-biomodels\final\BIOMD0000000039/BIOMD0000000039_url.xml,0.00951757999999998,0.002591199028828257,0.009378080000000465,0.0028964578086005783,0.010814840000005788,0.0024937743428223623,0.013499919999999754,0.00245007374317624,0.013168440000000458,0.0029076473733939557,0.014598100000009672,0.002503651918684131
D:\roadrunner\temp-biomodels\final\BIOMD0000000040/BIOMD0000000040_url.xml,0.007298520000000153,0.002506143177673465,0.007335020000000014,0.0028949772135553843,0.008782079999991765,0.0024438480306837184,0.008640000000000115,0.0025017012801293657,0.00865451999999962,0.0029490694467919267,0.010098260000004444,0.0024302936906887077
D:\roadrunner\temp-biomodels\final\BIOMD0000000041/BIOMD0000000041_url.xml,0.012602440000000215,0.003329636249352302,0.012360339999999326,0.0025487454606129734,0.013972119999978716,0.0024110438967404504,0.013339780000000268,0.003330140227077707,0.013124079999999339,0.002694580163401426,0.014712399999998738,0.0023882115086442182
D:\roadrunner\temp-biomodels\final\BIOMD0000000042/BIOMD0000000042_url.xml,0.01910242000000011,0.003386380887023447,0.02104066000000131,0.004648616104606024,0.022659260000004268,0.007108624581657973,0.02176954000000002,0.0033527149480682833,0.02372332000000128,0.004690336102776588,0.025901939999987533,0.008297465037469734
D:\roadrunner\temp-biomodels\final\BIOMD0000000043/BIOMD0000000043_url.xml,0.010427740000000085,0.002539213938997225,0.018172559999998582,0.004920028281220213,0.012197320000001533,0.003266089582671301,0.03428096000000007,0.0023924194997948386,0.044794239999998806,0.007451741383596278,0.033858640000010175,0.003598384911707102
D:\roadrunner\temp-biomodels\final\BIOMD0000000044/BIOMD0000000044_url.xml,0.01055365999999971,0.0030776903301016124,0.013363220000000097,0.0037849680080557714,0.011003519999973043,0.002495556440346388,0.026825039999999946,0.002621337389196425,0.03158188000000024,0.004419443933573159,0.025875139999983077,0.002476065893292111
D:\roadrunner\temp-biomodels\final\BIOMD0000000045/BIOMD0000000045_url.xml,0.010376920000000034,0.002547923136988315,0.012616459999999562,0.002961629598378479,0.011352219999987234,0.0029900183865552363,0.040977320000000185,0.0020416343445875994,0.045396699999999866,0.0045487335913410865,0.04054239999998419,0.006238092254444696
